id;sentence_1;sentence_2;label
1;Привет, как дела?;Здравствуй, как поживаешь?;1
2;Привет, как дела?;Какая хорошая погода!;0
3;Ты идешь сегодня в кафе?;Ты сегодня ужинаешь дома?;-1
4;Привет, как дела?;Здравствуй, как поживаешь?;1
5;Привет, как дела?;Какая хорошая погода!;0
6;Ты идешь сегодня в кафе?;Ты сегодня ужинаешь дома?;-1
7;Привет, как дела?;Здравствуй, как поживаешь?;1
8;Привет, как дела?;Какая хорошая погода!;0
9;Ты идешь сегодня в кафе?;Ты сегодня ужинаешь дома?;-1
10;Привет, как дела?;Здравствуй, как поживаешь?;1
11;Привет, как дела?;Какая хорошая погода!;0
12;Ты идешь сегодня в кафе?;Ты сегодня ужинаешь дома?;-1
